canInvest-bool,extraDropPool-int,id-int,isRanking-bool,level-int[],loadingBg-string,maxDifficulty-int,name-string,refreshRatio-int[],reputationRequaireScore-int,respawnTimes-int,rewardFrequency-int,sceneName-string,sceneSubtype-int,sceneType-int,talentType-int,worldDropProbability-int,functionModule-int[],baseScore-int[],bossCovers-int[],challengeMode-int[],chapterBaseReward-int[],chapterEvents-int[][],chapterLuckyReward-int[],chapterProgress-int[],chapterPunish-int[][],chapterTimeLimit-int[],chapters-string[],desc-string,dropRewardShow-int[],punishDesc-string,randomSeeds-string[][],releaseTime-int[][],tickets-int[][],campLimit-int[],bossSeed-string[],seedMaxLimit-int[],chapterIds-int[]
1,0,22002,0,"4,6",PVPDungeonSceneLoading_4_6.jpg,0, 중급 솔로 아레나,,0,0,5,PVPDungeonSceneSoloLv4-6,2,3,2,10000,"1,2","0,10000","37,39,38",1,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging", 빈 공간,," 죽을 때, 배낭에 아이템을 떨어뜨릴 수 있는 기회가 있습니다.",0;0,"0,0","660,1","3,24",,,
1,0,22003,0,"7,9",PVPDungeonSceneLoading_4_6.jpg,0, 고급 솔로 아레나,,0,0,5,PVPDungeonSceneSoloLv7-9,2,3,2,10000,"1,2","0,10000","61,71,66",1,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging"," 매일 도전 - 매일 도전 복사본은 아홉 층으로 나뉘어 있으며, 각 층은 각 수준의 몬스터에 해당하며, 도전을 완료한 후에는 수준 보상을 받게 되며, 사망 시 아무런 드롭이 없습니다. 매일 퀘스트에서 복사본 티켓을 얻을 수 있습니다.",," 죽을 때, 배낭에 아이템을 떨어뜨릴 수 있는 기회가 있습니다.",0;0,"0,0","661,1","3,24",,,
0,0,23001,0,"1,3",DungeonSceneLoading_7_9.jpg,0,Junior Arena - 미니,,0,0,0,PVPDungeonSceneSoloLv1-3,2,3,2,10000,"1,2","0,10000","55,0,54",2,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging",,," 죽을 때, 배낭에 아이템을 떨어뜨릴 수 있는 기회가 있습니다.",0;0,"1200,1320;720,840","934,1","5,24",,,
0,0,23002,0,"4,6",PVPDungeonSceneLoading_4_6.jpg,0, Intermediate Arena - 미니,,0,0,0,PVPDungeonSceneSoloLv4-6,2,3,2,10000,"1,2","0,10000","37,39,38",2,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging",,," 죽을 때, 배낭에 아이템을 떨어뜨릴 수 있는 기회가 있습니다.",0;0,"1200,1320;720,840","935,1","5,24",,,
0,0,23003,0,"7,9",PVPDungeonSceneLoading_4_6.jpg,0, Advanced Arena - 미니,,0,0,0,PVPDungeonSceneSoloLv7-9,2,3,2,10000,"1,2","0,10000","61,71,66",2,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging",,," 죽을 때, 배낭에 아이템을 떨어뜨릴 수 있는 기회가 있습니다.",0;0,"1200,1320;720,840","936,1","5,24",,,
0,0,30001,0,"1,9",DungeonSceneLoading_1_3.jpg,5, 일일 도전,,4294967295,0,1,DailyDungeon,1,3,2,0,1,"10000,20000,30000,40000,50000,60000,70000,80000,90000","6,7,8",1,"102,103,104,105,106,107,108,109,110",;;;;;;;;,"120,121,122,123,124,125,126,127,128","6,12,24,48,96,192,384,768,1536","0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0","120,90,90,90,90,90,90,90,90","Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8,Level 9", 도전을 완료한 도전자들은 메달 보상을 받을 기회가 있습니다. 수집 도전에서는 자원의 방어력이 증가합니다. 이에 상응하여 플레이어들은 수집 숙련도를 수집 공격으로 전환하는 버프를 받게 됩니다.,, 사망 패널티 없음,0;0;0;0;0;0;0;0;0,"0,1440","733,1",,,,
0,0,30002,0,"1,9",PVPDungeonSceneLoading_4_6.jpg,0, 훈련장,,0,0,1,PVPTrainingDungeon,2,3,2,1850,"1,2","0,10000","55,0,54",1,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging",,, 사망 패널티 없음,0;0,"0,1440","733,1","8,24",,,
0,160,40001,1,"0,3",HomeSceneLoading.jpg,5, 초급 수집 도전,,100,0,3,GatherDungeon1-3,1,3,3,10000,1,"10000,20000,30000","123,122,121",2,"159,160,161","22,18,19;18,19;18,19","178,179,180","28,56,112","0,0;0,0;0,0","120,190,400","Gather Challenge Chapter 1/3,Gather Challenge Chapter 2/3,Gather Challenge Chapter 3/3",,188, 사망 패널티 없음,0;0;0,"0,1440","775,1",,,,
0,40,40002,1,"4,6",HomeSceneLoading.jpg,5, 중급 수집 도전,,160,0,3,GatherDungeon4-6,1,3,3,10000,1,"10000,20000,30000","123,122,121",2,"162,163,164","22,18,19;18,19;18,19","181,182,183","224,448,896","0,0;0,0;0,0","470,500,770","Gather Challenge Chapter 1/3,Gather Challenge Chapter 2/3,Gather Challenge Chapter 3/3",,189, 사망 패널티 없음,0;0;0,"0,1440","776,1",,,,
0,10,40003,1,"7,9",HomeSceneLoading.jpg,5, 고급 수집 도전,,640,0,3,GatherDungeon7-9,1,3,3,10000,1,"10000,20000,30000","123,122,121",2,"165,166,167","22,18,19;18,19;18,19","184,185,186","1792,3584,7168","0,0;0,0;0,0","470,500,760","Gather Challenge Chapter 1/3,Gather Challenge Chapter 2/3,Gather Challenge Chapter 3/3",,190, 사망 패널티 없음,0;0;0,"0,1440","777,1",,,,
0,160,50001,1,"0,3",HomeSceneLoading.jpg,5, 초급 농장 도전,,24,0,3,FarmingDungeon1-3,1,3,1,10000,"1,3","10000,20000,30000","123,122,121",1,"168,169,170",21;21;21,"187,188,189","8,16,32","0,0;0,0;0,0","120,200,630","Farm Challenge Chapter 1/3,Farm Challenge Chapter 2/3,Farm Challenge Chapter 3/3",,191, 사망 패널티 없음,"146#1000#1000#1000,147#1000#1000#1000,148#1000#1000#1000;149#1000#2000#2000,150#1000#2000#2000,151#1000#2000#2000;152#1000#3000#3000,153#1000#3000#3000,154#1000#3000#3000","0,1440","778,1",,"824#10000#1000#1000,825#10000#2000#2000,826#10000#3000#3000","4,4,4",
0,40,50002,1,"4,6",HomeSceneLoading.jpg,5, 중급 농장 도전,,64,0,3,FarmingDungeon4-6,1,3,1,10000,"1,3","10000,20000,30000","123,122,121",1,"171,172,173",21;21;21,"190,191,192","64,128,256","0,0;0,0;0,0","510,550,1330","Farm Challenge Chapter 1/3,Farm Challenge Chapter 2/3,Farm Challenge Chapter 3/3",,192, 사망 패널티 없음,"413#1000#4000#4000,414#1000#4000#4000,415#1000#4000#4000;416#1000#5000#5000,417#1000#5000#5000,418#1000#5000#5000;419#1000#6000#6000,420#1000#6000#6000,421#1000#6000#6000","0,1440","779,1",,"827#10000#4000#4000,828#10000#5000#5000,829#10000#6000#6000","4,4,4",
0,10,50003,1,"7,9",HomeSceneLoading.jpg,5, 고급 농장 도전,,512,0,3,FarmingDungeon7-9,1,3,1,10000,"1,3","10000,20000,30000","123,122,121",1,"174,175,176",21;21;21,"193,194,195","512,1024,2048","0,0;0,0;0,0","750,980,1990","Farm Challenge Chapter 1/3,Farm Challenge Chapter 2/3,Farm Challenge Chapter 3/3",,193, 사망 패널티 없음,"614#1000#7000#7000,615#1000#7000#7000,616#1000#7000#7000;617#1000#8000#8000,618#1000#8000#8000,619#1000#8000#8000;620#1000#9000#9000,621#1000#9000#9000,622#1000#9000#9000","0,1440","780,1",,"830#10000#7000#7000,831#10000#8000#8000,832#10000#9000#9000","4,4,4",
0,0,24001,0,"1,9",DungeonSceneLoading_1_3.jpg,5, 백년 시험 - 전투,,4294967295,0,1,TowerDungeon_Combat,1,3,2,0,"1,4","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","61,71,66",1,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","12,12,12,12,20,12,12,12,12,20,24,24,24,24,40,24,24,24,24,40,48,48,48,48,80,48,48,48,48,80,96,96,96,96,160,96,96,96,96,160,192,192,192,192,320,192,192,192,192,320,384,384,384,384,640,384,384,384,384,640,768,768,768,768,1280,768,768,768,768,1280,1536,1536,1536,1536,2560,1536,1536,1536,1536,2560,3072,3072,3072,3072,5120,3072,3072,3072,3072,5120","0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0","120,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180","Combat Challenge Level 1-1,Combat Challenge Level 1-2,Combat Challenge Level 1-3,Combat Challenge Level 1-4,Combat Challenge Level 1-5,Combat Challenge Level 1-6,Combat Challenge Level 1-7,Combat Challenge Level 1-8,Combat Challenge Level 1-9,Combat Challenge Level 1-10,Combat Challenge Level 2-1,Combat Challenge Level 2-2,Combat Challenge Level 2-3,Combat Challenge Level 2-4,Combat Challenge Level 2-5,Combat Challenge Level 2-6,Combat Challenge Level 2-7,Combat Challenge Level 2-8,Combat Challenge Level 2-9,Combat Challenge Level 2-10,Combat Challenge Level 3-1,Combat Challenge Level 3-2,Combat Challenge Level 3-3,Combat Challenge Level 3-4,Combat Challenge Level 3-5,Combat Challenge Level 3-6,Combat Challenge Level 3-7,Combat Challenge Level 3-8,Combat Challenge Level 3-9,Combat Challenge Level 3-10,Combat Challenge Level 4-1,Combat Challenge Level 4-2,Combat Challenge Level 4-3,Combat Challenge Level 4-4,Combat Challenge Level 4-5,Combat Challenge Level 4-6,Combat Challenge Level 4-7,Combat Challenge Level 4-8,Combat Challenge Level 4-9,Combat Challenge Level 4-10,Combat Challenge Level 5-1,Combat Challenge Level 5-2,Combat Challenge Level 5-3,Combat Challenge Level 5-4,Combat Challenge Level 5-5,Combat Challenge Level 5-6,Combat Challenge Level 5-7,Combat Challenge Level 5-8,Combat Challenge Level 5-9,Combat Challenge Level 5-10,Combat Challenge Level 6-1,Combat Challenge Level 6-2,Combat Challenge Level 6-3,Combat Challenge Level 6-4,Combat Challenge Level 6-5,Combat Challenge Level 6-6,Combat Challenge Level 6-7,Combat Challenge Level 6-8,Combat Challenge Level 6-9,Combat Challenge Level 6-10,Combat Challenge Level 7-1,Combat Challenge Level 7-2,Combat Challenge Level 7-3,Combat Challenge Level 7-4,Combat Challenge Level 7-5,Combat Challenge Level 7-6,Combat Challenge Level 7-7,Combat Challenge Level 7-8,Combat Challenge Level 7-9,Combat Challenge Level 7-10,Combat Challenge Level 8-1,Combat Challenge Level 8-2,Combat Challenge Level 8-3,Combat Challenge Level 8-4,Combat Challenge Level 8-5,Combat Challenge Level 8-6,Combat Challenge Level 8-7,Combat Challenge Level 8-8,Combat Challenge Level 8-9,Combat Challenge Level 8-10,Combat Challenge Level 9-1,Combat Challenge Level 9-2,Combat Challenge Level 9-3,Combat Challenge Level 9-4,Combat Challenge Level 9-5,Combat Challenge Level 9-6,Combat Challenge Level 9-7,Combat Challenge Level 9-8,Combat Challenge Level 9-9,Combat Challenge Level 9-10",,,,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,"0,1440","973,1",,,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185"
