boothFees-int[][],canDropScene-int[],canMint-int,desc-string,givenSkillId-int,icon-string,id-int,name-string,onChainDelay-int,quality-int[],resourceInstructions-int[],sellable-bool,subType-int,talentId-int[],tokenTaskLevel-int[],tokenTaskRefreshType-int,type-int,useLv-int,userType-int
"793,1",0,1,"Anda dapat memperoleh item ini melalui sintesis.
Ketika dipasang, ia dapat meningkatkan atribut. Tingkatkan kekuatan serangan tempur Anda
-------
Senjata tajam dan kokoh yang terbuat dari besi, mampu membelah musuh dengan mudah. Beratnya memberikan kepuasan saat digunakan, memungkinkan pukulan yang kuat yang membuat lawan terhuyung.
",0,item-icon-41,41,pedang besi,1440,"1,2",271,1,0,2,999,0,1,2,1
"794,1",0,1,"Anda dapat memperoleh item ini melalui sintesis.
Ketika dipasang, ia dapat meningkatkan atribut. Tingkatkan kekuatan serangan tempur Anda
-------
Senjata kuat yang terbuat dari kristal murni, mampu membelah musuh dengan mudah. Bilahnya yang berkilauan memantulkan cahaya, mempesona lawan dan menimbulkan ketakutan dalam hati mereka. Setiap ayunan Pedang Kristal melepaskan kombinasi mematikan dari kecepatan dan presisi.
",0,item-icon-42,42,pedang kristal,1440,"1,2,3",280,1,0,2,999,0,1,3,1
"792,1",0,1,"Anda dapat memperoleh item ini melalui sintesis.
Ketika dipasang, ia dapat meningkatkan atribut. Tingkatkan kekuatan serangan tempur Anda
-------
Senjata kayu yang kokoh yang dirancang untuk serangan cepat dan presisi, sempurna untuk pemula yang mengasah keterampilan tempur mereka. Desainnya yang ringan memungkinkan gerakan yang lincah, menjadikannya pilihan yang ideal bagi mereka yang mencari senjata serbaguna dan dapat diandalkan.
",0,item-icon-39,39,pedang kayu,1440,1,256,0,0,2,999,0,1,0,1
"792,1",4,1,"Anda dapat memperoleh item ini melalui sintesis.
Ketika dipasang, ia dapat meningkatkan atribut. Tingkatkan probabilitas kelangsungan hidup Anda dalam pertempuran
-------
Aksesoris bergaya yang menambah sentuhan elegan pada setiap pakaian. Dibuat dengan detail yang rumit, cincin ini memancarkan kesan keanggunan dan pesona. Desain uniknya pasti akan menarik perhatian para penggemar mode.
",0,item-icon-43,43,Lingkaran Pecahan Kristal,1440,1,257,1,0,2,999,0,1,1,1
"793,1",4,1,"Anda dapat memperoleh item ini melalui sintesis.
Ketika dipasang, ia dapat meningkatkan atribut. Tingkatkan probabilitas kelangsungan hidup Anda dalam pertempuran
-------
Topi ini terbuat dari bahan unik yang terasa sangat lembut di kulit Anda. Ini memberikan kenyamanan dan kenyamanan yang mewah, sehingga sempurna untuk sesi bermain game yang lama.
",0,item-icon-44,44,Topi Kristal Helm Prajurit,1440,"1,2",269,1,0,2,999,0,1,2,1
"794,1",4,1,"Anda dapat memperoleh item ini melalui sintesis.
Ketika dipasang, ia dapat meningkatkan atribut. Tingkatkan probabilitas kelangsungan hidup Anda dalam pertempuran
-------
Helm kokoh yang terbuat dari kristal berkilau, memberikan perlindungan luar biasa tanpa mengorbankan kecepatan. Cahaya mempesona memberikan penglihatan yang ditingkatkan di dalam gua gelap.
",0,item-icon-45,45,Helm Prajurit Helm Hedron,1440,"1,2,3",278,1,0,2,999,0,1,3,1
"792,1",4,1,"Anda dapat memperoleh item ini melalui sintesis.
Ketika dipasang, ia dapat meningkatkan atribut. Tingkatkan probabilitas kelangsungan hidup Anda dalam pertempuran
-------
Armor ini, dengan desain kristal yang retak, memancarkan aura ketahanan dan kekuatan. Permukaannya yang berkilauan memantulkan cahaya, memikat semua yang melihatnya. Simbol kekuatan dan ketahanan, ini adalah barang wajib bagi prajurit berpengalaman.
",0,item-icon-46,46,Armor Anggur Pecahan Kristal Tunik Prajurit,1440,1,259,1,0,2,999,0,1,1,1
"793,1",4,1,"Anda dapat memperoleh item ini melalui sintesis.
Ketika dipasang, ia dapat meningkatkan atribut. Tingkatkan probabilitas kelangsungan hidup Anda dalam pertempuran
-------
Armor ini dibuat dengan bahan mirip kristal yang unik, memberikan perlindungan luar biasa tanpa mengorbankan mobilitas. Desainnya yang ramping dan permukaannya yang berkilauan membuatnya menjadi mahakarya sejati dari kerajinan tangan. Dengan Armor Kulit Kristal, Anda akan merasa tak terkalahkan di medan perang.
",0,item-icon-47,47,Atasan Prajurit Atasan Kulit Kristal,1440,"1,2",265,1,0,2,999,0,1,2,1
"794,1",4,1,"Anda dapat memperoleh item ini melalui sintesis.
Ketika dipasang, ia dapat meningkatkan atribut. Tingkatkan probabilitas kelangsungan hidup Anda dalam pertempuran
-------
Armor yang tangguh yang ditempa dari kristal yang terkutuk, memberikan perlindungan tak tertandingi terhadap serangan fisik maupun sihir. Permukaannya yang berkilauan memantulkan cahaya, mempesona musuh dan menanamkan ketakutan dalam hati mereka. Mengenakan armor ini memberikan aura ketaklukan pada pemakainya, menjadikannya kekuatan yang tak terhentikan di medan perang.
",0,item-icon-48,48,Armor Tunik Hedron Prajurit,1440,"1,2,3",276,1,0,2,999,0,1,3,1
"792,1",4,1,"Anda dapat memperoleh item ini melalui sintesis.
Ketika dipasang, ia dapat meningkatkan atribut. Tingkatkan probabilitas kelangsungan hidup Anda dalam pertempuran
-------
Potongan pakaian yang unik terbuat dari kristal yang lembut, rok rumput ini menambah sentuhan elegan pada setiap pakaian. Tekstur retak memberinya daya tarik misterius dan memikat, menjadikannya barang yang wajib dimiliki bagi petualang yang mengikuti mode terkini.
",0,item-icon-49,49,Celana Prajurit Rok Hula Pecahan Kristal,1440,1,262,1,0,2,999,0,1,1,1
"793,1",4,1,"Anda dapat memperoleh item ini melalui sintesis.
Ketika dipasang, ia dapat meningkatkan atribut. Tingkatkan probabilitas kelangsungan hidup Anda dalam pertempuran
-------
Celana ini memiliki tekstur kristal yang unik, memberikan tampilan yang ramping dan futuristik. Kain yang halus terasa sejuk di kulit, memberikan kenyamanan maksimal selama pertempuran intens. Dengan desain yang mencolok, celana ini pasti membuat Anda menonjol di medan perang.
",0,item-icon-50,50,Celana Prajurit Celana Kulit Kristal,1440,"1,2",268,1,0,2,999,0,1,2,1
"794,1",4,1,"Anda dapat memperoleh item ini melalui sintesis.
Ketika dipasang, ia dapat meningkatkan atribut. Tingkatkan probabilitas kelangsungan hidup Anda dalam pertempuran
-------
Legging ini dibuat dari batu kristal langka, memberikan perlindungan dan daya tahan yang tak tertandingi. Permukaannya yang berkilauan memantulkan cahaya, membuat pemakainya terlihat gaib dan misterius.
",0,item-icon-51,51,Pelindung Kaki Hedron Celana Prajurit,1440,"1,2,3",275,1,0,2,999,0,1,3,1
"792,1",4,1,"Anda dapat memperoleh item ini melalui sintesis.
Ketika dipasang, ia dapat meningkatkan atribut. Tingkatkan probabilitas kelangsungan hidup Anda dalam pertempuran
-------
Aksesoris berkilau dengan retakan halus, memancarkan aura misteri dan ketahanan. Permukaannya yang retak memantulkan kekuatan dan tekad pemakainya, menjadikannya simbol ketahanan dan ketekunan.
",0,item-icon-52,52,Gelang Pecahan Kristal Sarung Tangan Prajurit,1440,1,260,1,0,2,999,0,1,1,1
"793,1",4,1,"Anda dapat memperoleh item ini melalui sintesis.
Ketika dipasang, ia dapat meningkatkan atribut. Tingkatkan probabilitas kelangsungan hidup Anda dalam pertempuran
-------
Sarung tangan ini dibuat dengan bahan mirip kristal yang unik, memberikan tekstur yang ramping dan halus yang meningkatkan cengkeraman dan kelincahan. Desainnya yang ringan memungkinkan gerakan yang mudah, menjadikannya favorit di kalangan pemain yang mencari presisi dan kenyamanan.
",0,item-icon-53,53,Sarung Tangan Prajurit Sarung Tangan Kulit Kristal,1440,"1,2",267,1,0,2,999,0,1,2,1
"794,1",4,1,"Anda dapat memperoleh item ini melalui sintesis.
Ketika dipasang, ia dapat meningkatkan atribut. Tingkatkan probabilitas kelangsungan hidup Anda dalam pertempuran
-------
Sebuah sarung tangan yang kuat yang dicampuri dengan energi kristal, memberikan kekuatan tambahan kepada pemakainya dan kemampuan untuk memanipulasi kekuatan elemen. Manfaatkan kekuatan alam yang murni dan lepaskan serangan mematikan terhadap musuh Anda. Kuasai medan perang dengan Sarung Tangan Batu Kristal!
",0,item-icon-54,54,Sarung Tangan Prajurit Sarung Tangan Hedron,1440,"1,2,3",277,1,0,2,999,0,1,3,1
"792,1",4,1,"Anda dapat memperoleh item ini melalui sintesis.
Ketika dipasang, ia dapat meningkatkan atribut. Tingkatkan probabilitas kelangsungan hidup Anda dalam pertempuran
-------
Sepatu ini terbuat dari bahan unik yang memberikan cengkeraman dan traksi yang sangat baik, membuatnya sempurna untuk melintasi permukaan yang licin. Desain kristal yang retak menambah sentuhan elegan dan misterius pada pakaian Anda. Kenakan dan rasakan kepercayaan diri saat Anda melangkah di segala medan.
",0,item-icon-55,55,Sandal Pecah Sepatu Prajurit,1440,1,261,1,0,2,999,0,1,1,1
"793,1",4,1,"Anda dapat memperoleh item ini melalui sintesis.
Ketika dipasang, ia dapat meningkatkan atribut. Tingkatkan probabilitas kelangsungan hidup Anda dalam pertempuran
-------
Sepatu ini dibuat dengan bahan unik yang meningkatkan kelenturan dan memberikan perlindungan yang sangat baik. Desainnya yang ramping memungkinkan gerakan yang cepat, menjadikannya favorit di kalangan petualang. Sepatu Kulit Kristal adalah barang wajib bagi pemain yang mencari gaya dan fungsionalitas.
",0,item-icon-56,56,Sepatu Prajurit Sepatu Bot Kulit Kristal,1440,"1,2",266,1,0,2,999,0,1,2,1
"794,1",4,1,"Anda dapat memperoleh item ini melalui sintesis.
Ketika dipasang, ia dapat meningkatkan atribut. Tingkatkan probabilitas kelangsungan hidup Anda dalam pertempuran
-------
Sepatu ini dibuat dengan desain batu kristal yang unik, menambah sentuhan elegan pada setiap langkah Anda. Batu berkilau yang tertanam di sepatu menciptakan efek yang mempesona, membuat Anda menjadi pusat perhatian di mana pun Anda pergi. Kenakan sepatu yang indah ini dan rasakan pesona yang mereka bawa pada pakaian Anda.
",0,item-icon-57,57,sepatu prajurit sepatu spar,1440,"1,2,3",279,1,0,2,999,0,1,3,1
"792,1","1,3,4",1,"Seseorang pernah melihat bahan ini di tepi pantai.
Bahan ini dapat digunakan untuk membuat peralatan atau item.

-------
Batu ini adalah batu kelas satu dan dapat digunakan untuk mengumpulkan bahan mentah seperti pohon.
",0,item-icon-58,58,Batu,0,1,69,1,0,3,"1,0",1,4,1,1
"793,1","1,3,4",1,"Seseorang pernah melihat bahan ini di kanyon.
Bahan ini dapat digunakan untuk membuat peralatan atau item.

-------
Bijih besi hitam adalah bahan mentah sekunder yang dapat diperoleh melalui penambangan. Ia memiliki warna hitam, tekstur keras, dan mengandung banyak unsur besi.
",0,item-icon-59,59,bijih besi hitam,0,1,71,1,0,3,2,1,4,2,1
"794,1","1,3,4",1,"Seseorang pernah melihat bahan ini di Gunung Salju.
Bahan ini dapat digunakan untuk membuat peralatan atau item.

-------
Ini adalah bijih kristal merah tingkat tiga yang dapat dikumpulkan di hutan. Ini adalah bahan mentah penting yang dapat digunakan untuk membuat berbagai peralatan dan item.
",0,item-icon-60,60,tambang kristal merah,0,1,73,1,0,3,3,1,4,3,1
"792,1","1,3,4",1,"Seseorang pernah melihat bahan ini di tepi pantai.
Bahan ini dapat digunakan untuk membuat peralatan atau item.

-------
Jenis kayu ini biasanya digunakan untuk membuat perabotan sederhana atau bahan bangunan. Teksturnya relatif lunak, sehingga mudah untuk diproses dan diukir.",0,item-icon-62,62,kayu biasa,0,1,"49,51",1,0,3,"1,0",1,4,1,1
"793,1","1,3,4",1," Seseorang pernah melihat bahan ini di gurun.
Bahan ini dapat digunakan untuk membuat peralatan atau barang.
-------
Pohon gurun adalah jenis pohon yang tumbuh di gurun. Mereka biasanya memiliki tinggi rendah, batang yang tebal, dan daun hijau terang. Mereka dapat digunakan untuk mengumpulkan bahan mentah dan cocok untuk membuat beberapa barang khusus.
",0,item-icon-63,63,kayu pohon gurun,0,1,53,1,0,3,2,1,4,2,1
"794,1","1,3,4",1," Seseorang pernah melihat bahan ini di Hutan Merah.
Bahan ini dapat digunakan untuk membuat peralatan atau barang.
-------
Kayu gelap adalah jenis kayu premium dengan tekstur hitam dan tekstur yang keras, cocok untuk membuat perabotan dan kerajinan kelas atas. Ini hanya dapat dipanen di titik pengumpulan tertentu, yang sulit tetapi juga sangat menguntungkan.
",0,item-icon-64,64,kayu gelap,0,1,55,1,0,3,3,1,4,3,1
"792,1","1,3,4",1," Anda dapat memperoleh jenis bahan ini melalui penanaman.
Bahan ini dapat digunakan untuk membuat peralatan atau barang.
-------
Bambu ini adalah hasil pertanian dan tanaman yang digunakan untuk membuat berbagai bahan mentah pertanian. Ini sangat umum dalam pertanian dan dapat tumbuh dengan sangat cepat.
",0,item-icon-70,70,bambu,0,1,87,1,0,1,"1,0",1,4,1,1
"792,1","1,3,4",1," Anda dapat memperoleh jenis bahan ini melalui penanaman.
Bahan ini dapat digunakan untuk membuat peralatan atau barang.
-------
Ini adalah bahan mentah yang diproduksi dalam pertanian, biasanya dapat dipanen pada Lv 1. Bentuknya menyerupai tiga daun, oleh karena itu disebut semanggi. Ini dapat digunakan untuk membuat banyak barang yang berbeda dan merupakan sumber daya yang sangat berguna.
",0,item-icon-71,71,semanggi,0,1,88,1,0,1,"1,0",1,4,1,1
"792,1","1,3,4",1," Anda dapat memperoleh jenis bahan ini melalui penanaman.
Bahan ini dapat digunakan untuk membuat peralatan atau barang.
-------
Wortel ini adalah hasil pertanian level 1 yang dapat diperoleh di lapangan pertanian. Ini adalah bahan baku penting.
",0,item-icon-72,72,wortel,0,1,89,1,0,1,"1,0",1,4,1,1
"793,1","1,3,4",1," Anda dapat memperoleh jenis bahan ini melalui penanaman.
Bahan ini dapat digunakan untuk membuat peralatan atau barang.
-------
Pitcher plant adalah jenis tanaman yang unik yang dapat menarik dan menangkap serangga sebagai sumber makanan. Mereka dianggap sebagai salah satu hasil pertanian dan dapat digunakan sebagai bahan baku dalam bidang pertanian.
",0,item-icon-73,73,Sesuatu yg memberi ketenangan,0,1,90,1,0,1,2,1,4,2,1
"793,1","1,3,4",1," Anda dapat memperoleh jenis bahan ini melalui penanaman.
Bahan ini dapat digunakan untuk membuat peralatan atau barang.
-------
Kapas ini adalah kualitas tingkat kedua dan cocok untuk pembuatan tekstil.
",0,item-icon-74,74,kapas,0,1,91,1,0,1,2,1,4,2,1
"793,1","1,3,4",1," Anda dapat memperoleh jenis bahan ini melalui penanaman.
Bahan ini dapat digunakan untuk membuat peralatan atau barang.
-------
Buah kesabaran ini adalah bahan mentah yang diproduksi dalam pertanian, yang dapat ditanam di peternakan level 2 dan menghasilkan 2-3 buah setiap kali. Ini memiliki karakteristik daya tahan yang kuat dan waktu penyimpanan yang lama, dan merupakan bahan penting untuk membuat berbagai makanan dan obat-obatan.
",0,item-icon-75,75,buah dari kesabaran,0,1,92,1,0,1,2,1,4,2,1
"794,1","1,3,4",1," Anda dapat memperoleh jenis bahan ini melalui penanaman.
Bahan ini dapat digunakan untuk membuat peralatan atau barang.
-------
Cabai pedas ini level 3 dan sangat pedas, cocok untuk mereka yang menyukai makanan pedas. Diproduksi oleh pertanian dan dapat ditanam di lapangan. Sebagai bahan mentah pertanian, dapat digunakan untuk membuat berbagai produk cabai, seperti saus cabai dan minyak cabai.
",0,item-icon-76,76,cabai pedas,0,1,93,1,0,1,3,1,4,3,1
"794,1","1,3,4",1," Anda dapat memperoleh jenis bahan ini melalui penanaman.
Bahan ini dapat digunakan untuk membuat peralatan atau barang.
-------
Buah keras ini adalah bahan mentah pertanian yang menghasilkan hasil tinggi yang dapat digunakan untuk membuat berbagai makanan dan obat-obatan. Ini memiliki tekstur yang keras dan komponen nutrisi yang kaya, menjadikannya bagian yang tak terpisahkan dari produksi pertanian.
",0,item-icon-77,77,buah keras,0,1,94,1,0,1,3,1,4,3,1
"794,1","1,3,4",1," Anda dapat memperoleh jenis bahan ini melalui penanaman.
Bahan ini dapat digunakan untuk membuat peralatan atau barang.
-------
Jamur biru ini adalah spesies jamur premium yang biasanya diproduksi dalam sektor pertanian. Ini adalah bahan mentah yang sangat berharga yang dapat digunakan untuk membuat obat-obatan dan makanan mewah.
",0,item-icon-78,78,Jamur Phantom Biru,0,1,95,1,0,1,3,1,4,3,1
"792,1",0,1,"Anda dapat memperoleh item ini melalui sintesis.
Ketika dipasang, ia dapat meningkatkan atribut. Buka produk pertanian level lebih tinggi
-------
Cangkul Besi adalah alat pertanian yang tahan lama yang terbuat dari besi yang kokoh. Ini penting untuk mengolah tanah dan menanam tanaman dengan efisien dalam permainan.
",0,item-icon-79,79,cangkul kayu,1440,1,180,0,0,1,999,0,1,0,1
"792,1",0,1,"Anda dapat memperoleh item ini melalui sintesis.
Ketika dipasang, ia dapat meningkatkan atribut. Buka produk pertanian level lebih tinggi
-------
Cangkul ini dapat membantu petani mengolah tanah dengan lebih mudah, tetapi pada saat yang sama juga membawa beberapa kutukan misterius.
",0,item-icon-80,80,cangkul besi,1440,1,187,1,0,1,999,0,1,1,1
"793,1",0,1,"Anda dapat memperoleh item ini melalui sintesis.
Ketika dipasang, ia dapat meningkatkan atribut. Buka produk pertanian level lebih tinggi
-------
Cangkul Berkat adalah alat kuat yang meningkatkan efisiensi pertanian dan meningkatkan hasil panen. Ia memancarkan aura ilahi, memberikan berkah pada setiap pukulan yang mempromosikan pertumbuhan yang sehat dan panen yang melimpah. Dengan cangkul berhala ini di tangan, pemain dapat mengolah tanah mereka dengan mudah dan merasakan kegembiraan memanen hasil kerja keras mereka.
",0,item-icon-81,81,cangkul terkutuk,1440,"1,2",190,1,0,1,999,0,1,2,1
"794,1",0,1,"Anda dapat memperoleh item ini melalui sintesis.
Ketika dipasang, ia dapat meningkatkan atribut. Buka produk pertanian level lebih tinggi
-------
Pot air kayu yang kokoh adalah peralatan yang cocok untuk digunakan dalam pertanian, yang dapat digunakan untuk menyimpan air bersih atau air irigasi.
",0,item-icon-82,82,cangkul yang diberkati,1440,"1,2,3",198,1,0,1,999,0,1,3,1
"792,1",0,1,"Anda dapat memperoleh item ini melalui sintesis.
Ketika dipasang, ia dapat meningkatkan atribut. Buka produk pertanian level lebih tinggi
-------
Alat masak yang kokoh dan dapat diandalkan yang terbuat dari besi tahan lama. Ia cepat dan merata dalam memanaskan, memungkinkan memasak yang efisien. Pegangan ergonomisnya memastikan pegangan yang nyaman saat menuangkan.
",0,item-icon-83,83,ketel kayu,1440,1,181,0,0,1,999,0,1,0,1
"792,1",0,1,"Anda dapat memperoleh item ini melalui sintesis.
Ketika dipasang, ia dapat meningkatkan atribut. Buka produk pertanian level lebih tinggi
-------
Teko misterius ini membawa malapetaka bagi mereka yang memilikinya, menyebabkan kekacauan dan keputusasaan. Aura gelapnya memancarkan kehadiran yang menyeramkan, menggoda takdir dengan setiap seduhan. Berhati-hatilah, karena kekuatan terkutuknya dapat mengubah bahkan yang paling beruntung menjadi korban nasib mereka sendiri.
",0,item-icon-84,84,ketel besi,1440,1,188,1,0,1,999,0,1,1,1
"793,1",0,1,"Anda dapat memperoleh item ini melalui sintesis.
Ketika dipasang, ia dapat meningkatkan atribut. Buka produk pertanian level lebih tinggi
-------
Artefak suci yang membawa berkah dan keberuntungan bagi pemiliknya, meningkatkan keberuntungan mereka dan memberi mereka kesempatan tak terduga. Teko mistis ini dikatakan memancarkan energi positif, menarik kemakmuran dan kebahagiaan di mana pun ia pergi. Milikilah benda berharga ini bagi mereka yang mencari sentuhan campur tangan ilahi dalam hidup mereka.
",0,item-icon-85,85,Ketel Terkutuklah,1440,"1,2",191,1,0,1,999,0,1,2,1
"794,1",0,1,"Anda dapat memperoleh item ini melalui sintesis.
Ketika dipasang, ia dapat meningkatkan atribut. Buka produk pertanian level lebih tinggi
-------
Alat yang kokoh terbuat dari kayu, sempurna untuk penambangan dan pengumpulan sumber daya dengan efisien. Daya tahannya memastikan tidak mudah rusak, menjadikannya pilihan yang dapat diandalkan bagi petualang manapun.
",0,item-icon-86,86,ketel berkah,1440,"1,2,3",199,1,0,1,999,0,1,3,1
"792,1",0,1,"Anda dapat memperoleh item ini melalui sintesis.
Ketika dipasang, ia dapat meningkatkan atribut. Buka produk pertanian level lebih tinggi
-------
Alat yang kokoh terbuat dari besi, sempurna untuk penambangan dan penggalian sumber daya berharga. Ujungnya yang tajam dan konstruksi yang tahan lama menjadikannya barang penting bagi petualang manapun. Dengan beliung ini di tangan, Anda akan dapat menggali lebih dalam dan menemukan harta tersembunyi.
",0,item-icon-87,87,beliung kayu,1440,1,331,0,0,3,999,0,1,0,1
"792,1",0,1,"Anda dapat memperoleh item ini melalui sintesis.
Ketika dipasang, ia dapat meningkatkan atribut. Buka produk pertanian level lebih tinggi
-------
Beliung terkutuk ini dapat membantu Anda mengumpulkan pohon dan bijih dengan lebih cepat. Ini adalah peralatan level 2 dengan kemampuan pengumpulan yang kuat.
",0,item-icon-88,88,beliung besi,1440,1,339,1,0,3,999,0,1,1,1
"793,1",0,1,"Anda dapat memperoleh item ini melalui sintesis.
Ketika dipakai, item ini dapat meningkatkan atribut. Tingkatkan efisiensi pengumpulan Anda.
-------
Cangkul terkutuk ini dapat membantu Anda mengumpulkan pohon dan bijih dengan lebih cepat. Ini adalah peralatan level 2 dengan kemampuan pengumpulan yang kuat.
",0,item-icon-89,89,Beliung Terkutuklah,1440,"1,2",341,1,0,3,999,0,1,2,1
"794,1",0,1,"Anda dapat memperoleh item ini melalui sintesis.
Ketika dipakai, item ini dapat meningkatkan atribut. Tingkatkan efisiensi pengumpulan Anda.
-------
Cangkul Berkat, alat suci yang dianugerahi kekuatan ilahi, dengan mudah membelah batu terkeras, meninggalkan jejak fragmen berkilau. Bilah ajaibnya berpendar dengan cahaya yang memancar, membimbing para penambang menuju harta tersembunyi di dalam bumi. Dengan setiap ayunan, ia memberikan berkah keberuntungan dan kemakmuran, menjadikannya teman yang penting bagi petualang mana pun.
",0,item-icon-90,90,Beliung yang Terberkati,1440,"1,2,3",349,1,0,3,999,0,1,3,1
"792,1",0,1,"Anda dapat memperoleh item ini melalui sintesis.
Ketika dipakai, item ini dapat meningkatkan atribut. Tingkatkan efisiensi pengumpulan Anda.
-------
Axe ini adalah alat kayu yang cocok untuk pekerjaan pengumpulan di luar ruangan. Ini adalah jenis peralatan yang dapat membantu Anda menyelesaikan tugas pengumpulan dengan lebih efisien.
",0,item-icon-91,91,kapak kayu,1440,1,330,0,0,3,999,0,1,0,1
"792,1",0,1,"Anda dapat memperoleh item ini melalui sintesis.
Ketika dipakai, item ini dapat meningkatkan atribut. Tingkatkan efisiensi pengumpulan Anda.
-------
Axe besi ini dapat digunakan untuk menebang pohon dan merupakan alat penting untuk mengumpulkan kayu. Ini juga dapat digunakan sebagai peralatan untuk meningkatkan efektivitas pertempuran.
",0,item-icon-92,92,Kapak Besi,1440,1,338,1,0,3,999,0,1,1,1
"793,1",0,1,"Anda dapat memperoleh item ini melalui sintesis.
Ketika dipakai, item ini dapat meningkatkan atribut. Tingkatkan efisiensi pengumpulan Anda.
-------
Tajamnya axe ini telah mencapai level 2, sehingga mudah untuk mengumpulkan pohon. Namun, axe ini juga terkutuk, jadi hati-hati saat menggunakannya.
",0,item-icon-93,93,kapak terkutuk,1440,"1,2",340,1,0,3,999,0,1,2,1
